lat,lon,height,x,y,z
37.6381906,-122.4050097,-30.152668811321256,-2710065.1254723174,-4269554.120109937,3873702.506453755
37.6379435,-122.4048821,-30.27326592493057,-2710064.541005372,-4269574.214861703,3873680.7150630727
37.6376963,-122.4047517,-30.421504125952723,-2710063.739661817,-4269594.429232642,3873658.8979333267
37.6374488,-122.4046192,-30.53856672629714,-2710062.8058260903,-4269614.78088097,3873637.073403629
37.6372012,-122.404487,-30.59320690515637,-2710061.9243377214,-4269635.165734448,3873615.278132879
37.6369557,-122.4043563,-30.612526328653097,-2710061.093213842,-4269655.383024799,3873593.688932521
37.6367147,-122.4042299,-30.643844840884206,-2710060.4138639877,-4269675.131344253,3873572.487849019
37.6364784,-122.4041113,-30.684504552602768,-2710060.140981724,-4269694.235480501,3873551.6940878006
37.6362439,-122.4040002,-30.726731411457063,-2710060.3608492897,-4269712.880767746,3873531.057511402
37.6360096,-122.4038955,-30.76806126731634,-2710061.050659435,-4269731.212438678,3873510.43899738
37.6357734,-122.4037967,-30.8075140683949,-2710062.2498438903,-4269749.3749630805,3873489.6545686694
37.6355347,-122.4037041,-30.83542242157459,-2710064.006656879,-4269767.394945661,3873468.6573908674
37.6352931,-122.4036171,-30.863731413841247,-2710066.2858472555,-4269785.31566555,3873447.4050102094
37.6350502,-122.4035356,-30.890433774232868,-2710069.0227082176,-4269803.051638945,3873426.0392803936
37.6348076,-122.4034607,-30.90176363065839,-2710072.246951567,-4269820.468485947,3873404.7092369967
37.6345641,-122.4033948,-30.92185619705916,-2710076.170777036,-4269837.505213248,3873383.2946690926
37.6343168,-122.4033407,-30.962824903070924,-2710081.103036285,-4269854.187216624,3873361.5332841524
37.6340655,-122.4032948,-31.00907170379162,-2710086.7893355773,-4269870.706642426,3873339.4170244876
37.6338113,-122.4032494,-31.026670143783093,-2710092.630296217,-4269887.387437924,3873317.063287578
37.6335549,-122.4032029,-31.028102997839447,-2710098.475959217,-4269904.256881285,3873294.525975489
37.633296,-122.4031589,-31.008504947096107,-2710104.6075686603,-4269921.165108725,3873271.781688038
37.6330346,-122.4031199,-30.988308070898057,-2710111.2027651533,-4269937.980204838,3873248.8179468648
37.6327713,-122.4030851,-30.98226765871048,-2710118.1738800006,-4269954.695809291,3873225.6784781306
37.6325062,-122.4030542,-30.939164661854505,-2710125.516662653,-4269971.354634001,3873202.40334401
37.6322397,-122.4030259,-30.916102998256683,-2710133.095472343,-4269987.957098122,3873178.9928342127
37.6319718,-122.4029981,-30.90803129243851,-2710140.7559500886,-4270004.605908492,3873155.450031957
37.6317027,-122.4029696,-30.8743820104599,-2710148.4186173254,-4270021.373506589,3873131.8172855475
37.6314322,-122.4029401,-30.858535852909085,-2710156.0499675707,-4270038.256518879,3873108.050526541
37.6311602,-122.4029095,-30.886618910729883,-2710163.6350900554,-4270055.2479267055,3873084.12501199
37.6308863,-122.4028779,-30.93881447836757,-2710171.204370775,-4270072.37913523,3873060.0176809346
37.6306102,-122.402845,-30.96347457635403,-2710178.7682621046,-4270089.716032478,3873035.7336966917
37.6303322,-122.4028108,-30.93304172110557,-2710186.327562268,-4270107.259879034,3873011.316252301
37.6300522,-122.4027766,-30.943586701214315,-2710193.9420145876,-4270124.8906641975,3872986.697898247
37.62977,-122.4027435,-30.94831030011177,-2710201.7207220066,-4270142.599089229,3872961.8896265845
37.6294859,-122.4027106,-30.85014602386952,-2710209.6269088173,-4270160.475464316,3872936.977069449
37.6292007,-122.4026756,-30.748526727736,-2710217.4179093176,-4270178.516324823,3872911.9698358015
37.6289148,-122.402637,-30.673980443537232,-2710224.9544462874,-4270196.749325491,3872886.8844462424
37.6286284,-122.4025938,-30.6073924382329,-2710232.162836142,-4270215.223108247,3872861.750151022
37.6283417,-122.4025442,-30.52802124989033,-2710238.910460919,-4270234.025245791,3872836.597193536
37.628055,-122.4024871,-30.38465097782016,-2710245.126173684,-4270253.224856654,3872811.48321299
37.6277686,-122.4024218,-30.264164676368235,-2710250.7100293795,-4270272.779794917,3872786.3815347566
37.6274836,-122.4023466,-30.20120639780164,-2710255.4806728684,-4270292.684379314,3872761.367701502
37.6272005,-122.4022604,-30.148793103545906,-2710259.357895317,-4270312.99345794,3872736.5143510574
37.6269192,-122.4021669,-30.19685488566756,-2710262.582917473,-4270333.47759897,3872711.757791199
37.626638,-122.4020714,-30.356544596105813,-2710265.607744708,-4270353.97589815,3872686.9417793467
37.626356,-122.4019762,-30.52529818105697,-2710268.680005607,-4270374.499631499,3872662.0498194736
37.6260733,-122.4018804,-30.64564799213409,-2710271.753379018,-4270395.124078828,3872637.125785675
37.6257912,-122.4017836,-30.67741329056025,-2710274.7679019393,-4270415.820658011,3872612.308483401
37.6255103,-122.4016869,-30.66958670943976,-2710277.7629827345,-4270436.470249567,3872587.620745412
37.6252298,-122.4015919,-30.73947236767411,-2710280.837138535,-4270456.9644939825,3872562.9206345705
37.6249505,-122.4014974,-30.79584393832088,-2710283.9106014255,-4270477.375392282,3872538.3341696025
37.6246745,-122.4014,-30.840937427997588,-2710286.652761962,-4270497.742144403,3872514.0445893765
37.6244014,-122.4013001,-30.897153856515885,-2710289.0984498784,-4270518.053735599,3872490.003058932
37.6241278,-122.4012008,-30.928226857185365,-2710291.6175586833,-4270538.382286554,3872465.9328379617
37.6238518,-122.4011021,-30.92201135006547,-2710294.2842254136,-4270558.844613015,3872441.6743164784
37.6235736,-122.4010032,-30.92808214259148,-2710297.0105187204,-4270579.433962257,3872417.2148092347
37.6232929,-122.4009054,-30.959289065748457,-2710299.8987712353,-4270600.097406376,3872392.520097501
37.6230095,-122.4008089,-30.98233078050613,-2710302.9852833855,-4270620.859193168,3872367.592926744
37.6227242,-122.4007126,-31.00394878140092,-2710306.1561581623,-4270641.721080798,3872342.4995055166
37.6224395,-122.4006163,-31.0582568564415,-2710309.2912460905,-4270662.5266998755,3872317.4387788405
37.6221579,-122.4005211,-31.118937427997587,-2710312.39294703,-4270683.098602096,3872292.646586
37.6218807,-122.4004283,-31.173823999404902,-2710315.516132496,-4270703.309064392,3872268.2446393548
37.6216083,-122.4003375,-31.21563885688781,-2710318.619561205,-4270723.158997011,3872244.2725496218
37.6213405,-122.400248,-31.244514999628063,-2710321.658267117,-4270742.692868886,3872220.712658033
37.6210759,-122.4001583,-31.275525428295136,-2710324.5648750337,-4270762.051646116,3872197.4326931676
37.6208113,-122.4000689,-31.302411999702453,-2710327.495482867,-4270781.398918036,3872174.1551641254
37.6205444,-122.3999796,-31.32908214259148,-2710330.517020789,-4270800.873101263,3872150.6754904473
37.6202758,-122.3998886,-31.34255671429634,-2710333.4790420826,-4270820.533699322,3872127.0543395486
37.6200062,-122.3997968,-31.321165571928024,-2710336.432415297,-4270840.312587347,3872103.3664757204
37.6197368,-122.3997052,-31.263083429336547,-2710339.40889189,-4270860.0950376615,3872079.718506103
37.6194692,-122.3996146,-31.176455928504467,-2710342.406565664,-4270879.746235235,3872056.246117804
37.6192038,-122.399525,-31.0900739261806,-2710345.3986996557,-4270899.224045934,3872032.9669029694
37.6189402,-122.3994357,-31.02441420990229,-2710348.33894747,-4270918.570770928,3872009.8331993422
37.6186773,-122.3993473,-31.0959348692894,-2710351.262540075,-4270937.743064932,3871986.6772179464
37.6184142,-122.3992597,-31.373635015428068,-2710354.1654104223,-4270956.750992982,3871963.377721778
37.6181512,-122.3991722,-31.60618386346102,-2710357.0911580487,-4270975.7785946,3871940.1144983675
37.6178887,-122.3990842,-31.642536192476747,-2710360.0446438296,-4270994.932391468,3871917.0149098057
37.6176268,-122.3989966,-31.488950753211974,-2710363.0866706786,-4271014.159905649,3871894.0839255787
37.6173659,-122.398909,-31.288610127329825,-2710366.1121335016,-4271033.361419955,3871871.2693135096
37.6171057,-122.3988204,-31.20279399847984,-2710368.988928839,-4271052.493535551,3871848.446257359
37.6168452,-122.3987306,-31.20209257316589,-2710371.7509277496,-4271071.642582556,3871825.544794817
37.616584,-122.3986378,-31.21809350380301,-2710374.3075031177,-4271090.962343954,3871802.571517446
37.6163222,-122.398538,-31.095345032393933,-2710376.4228185047,-4271110.740288117,3871779.630099598
37.6160608,-122.3984281,-30.86971404582262,-2710377.8142557703,-4271131.041874676,3871756.786563443
37.6158,-122.3983082,-30.759866987049577,-2710378.389193355,-4271151.704686323,3871733.925025495
37.6155403,-122.3981783,-30.717,-2710378.1501859836,-4271172.732764747,3871711.119233884
37.6152823,-122.3980375,-30.71301042705774,-2710377.020281536,-4271194.153161437,3871688.4390932405
37.6150271,-122.3978841,-30.70445371294021,-2710374.8512531957,-4271216.01243438,3871666.007831179
37.614775,-122.3977194,-30.72438072353601,-2710371.7150848154,-4271238.209822831,3871643.8316528895
37.6145251,-122.3975468,-30.890201286673545,-2710367.8480633106,-4271260.557439722,3871621.759774591
37.6142767,-122.3973672,-31.09945152053237,-2710363.3861692664,-4271283.12127951,3871599.7931949776
37.6140306,-122.3971797,-31.2004202375114,-2710358.297655952,-4271305.999629101,3871578.0948459245
37.6137877,-122.3969837,-31.31597694814205,-2710352.45297463,-4271329.087213083,3871556.668863598
37.6135478,-122.3967784,-31.38975135487318,-2710345.8236626876,-4271352.471017,3871535.532071653
37.6133125,-122.3965627,-31.35988690248132,-2710338.2958912766,-4271376.152933167,3871514.8628960913
37.6130837,-122.3963385,-31.301679636031388,-2710329.910384782,-4271399.88404713,3871494.782431934
37.6128625,-122.3961104,-31.16733272460103,-2710320.9904362727,-4271423.415813712,3871475.416567565
37.6126492,-122.3958803,-30.95602119600773,-2710311.6671590307,-4271446.641750801,3871456.7921877676
37.6124438,-122.3956489,-30.83082653999329,-2710301.923532606,-4271469.419668028,3871438.809766387
37.6122463,-122.3954159,-30.77838072681427,-2710291.74287334,-4271491.772699273,3871421.4774685847
37.6120568,-122.3951793,-30.83160758304596,-2710280.9584830096,-4271513.767710515,3871404.783998723
37.6118738,-122.3949381,-30.885710584640503,-2710269.5947267427,-4271535.607894371,3871388.661439594
37.6116949,-122.394693,-30.96011216449737,-2710257.7826470975,-4271557.384416002,3871372.886930607
37.6115203,-122.3944433,-31.058659379363064,-2710245.461166771,-4271579.11637327,3871357.4757108907
37.6113511,-122.3941897,-31.12132035899162,-2710232.668032379,-4271600.747891929,3871342.5611346723
37.6111867,-122.3939343,-31.16922652307153,-2710219.572614048,-4271622.199818554,3871328.077555254
37.6110245,-122.3936799,-31.28084361022711,-2710206.4447169253,-4271643.435929624,3871313.748490447
37.6108628,-122.3934272,-31.42027647024393,-2710193.4134566733,-4271664.544356838,3871299.4463807237
37.6107018,-122.3931757,-31.520504584074025,-2710180.4627436763,-4271685.5821433375,3871285.229713204
37.6105422,-122.3929249,-31.55962844002247,-2710167.5391948964,-4271706.5475532,3871271.173398933
37.6103842,-122.3926745,-31.58509351855516,-2710154.593053074,-4271727.411602089,3871257.2660674085
37.6102275,-122.3924241,-31.566960490018133,-2710141.6180896875,-4271748.230396465,3871243.4996140935
37.6100703,-122.3921747,-31.51881484413147,-2710128.748412112,-4271769.05049996,3871229.7074866793
37.6099114,-122.3919261,-31.499670141637328,-2710115.987608182,-4271789.910532163,3871215.7481617234
37.609751,-122.3916768,-31.501545350492,-2710103.2199711436,-4271810.8753431225,3871201.6440938464
37.6095892,-122.391426,-31.51309163945913,-2710090.387040271,-4271831.984643994,3871187.411000659
37.6094259,-122.3911735,-31.525989575624465,-2710077.4810597748,-4271853.259178047,3871173.0451661856
37.6092608,-122.3909192,-31.52169192928076,-2710064.513326394,-4271874.733239213,3871158.531531219
37.6090945,-122.3906621,-31.48562019750476,-2710051.3936935705,-4271896.429560709,3871143.931746029
37.6089269,-122.3904026,-31.443918782174585,-2710038.1445136536,-4271918.317451459,3871129.2210621396
37.6087577,-122.3901415,-31.42290742015839,-2710024.825145597,-4271940.358622486,3871114.35703928
37.6085869,-122.3898792,-31.458327690780163,-2710011.450242285,-4271962.510243415,3871099.3178648534
37.608415,-122.3896168,-31.65585161590576,-2709998.038832769,-4271984.62099733,3871084.083013294
37.6082425,-122.3893546,-31.837989576697343,-2709984.67046311,-4272006.766828468,3871068.8047624207
37.6080704,-122.3890924,-31.80709475630522,-2709971.3778118016,-4272029.032220018,3871053.6916525834
37.6078995,-122.3888298,-31.76067108759284,-2709958.0182169154,-4272051.258214784,3871038.693495434
37.6077298,-122.3885663,-31.72841418975592,-2709944.541797061,-4272073.448596178,3871023.7921697698
37.6075604,-122.3883033,-31.62971305513382,-2709931.1197992563,-4272095.642548824,3871008.9577357513
37.6073906,-122.3880424,-31.479083659857512,-2709917.890760127,-4272117.79472381,3870994.119786335
37.6072211,-122.3877833,-31.35973267412185,-2709904.771608382,-4272139.823612719,3870979.289093019
37.607053,-122.3875267,-31.30760882472992,-2709891.759379356,-4272161.609146332,3870964.5404381375
37.6068868,-122.387274,-31.263825254380706,-2709878.9653159413,-4272183.095908416,3870949.953721574
37.6067231,-122.3870247,-31.224597468137745,-2709866.331981719,-4272204.275765213,3870935.5840101982
37.6065618,-122.3867781,-31.201339350998403,-2709853.805972739,-4272225.179910065,3870921.4155475837
37.6064021,-122.3865331,-31.191793988466262,-2709841.335253263,-4272245.907635211,3870907.3793704673
37.606243,-122.3862891,-31.180010421156886,-2709828.91813354,-4272266.555184132,3870893.3972859588
37.6060834,-122.3860456,-31.178546292305,-2709816.551908418,-4272287.200717356,3870879.3649107106
37.6059232,-122.3858014,-31.20915483683348,-2709804.141496008,-4272307.892155401,3870865.260177296
37.6057622,-122.3855558,-31.26505183261633,-2709791.6448326623,-4272328.678581191,3870851.0696398495
37.6056001,-122.3853084,-31.311731463909148,-2709779.057613894,-4272349.61915412,3870836.7879757974
37.6054372,-122.3850595,-31.257311418592927,-2709766.4303118424,-4272370.74399708,3870822.4976314935
37.6052741,-122.3848094,-31.168092585563663,-2709753.7353956355,-4272391.96024912,3870808.2109050653
37.6051123,-122.3845597,-31.190740956306456,-2709740.9755266528,-4272413.008326668,3870793.9701917167
37.6049523,-122.3843127,-31.254544165819883,-2709728.334081504,-4272433.798165157,3870779.862607164
37.6047939,-122.3840691,-31.336493258059026,-2709715.8802811243,-4272454.323493134,3870765.8846071414
37.6046368,-122.3838284,-31.38550461292267,-2709703.609404246,-4272474.659294018,3870752.040985496
37.6044804,-122.3835881,-31.358578747749327,-2709691.375041482,-4272494.986886862,3870738.305223485
37.604324,-122.3833469,-31.23282644128799,-2709679.1153562884,-4272515.423102436,3870724.6297371956
37.6041673,-122.3831056,-31.14403218796849,-2709666.843270082,-4272535.856419725,3870710.9052908826
37.6040116,-122.3828656,-31.111269460231068,-2709654.6079344205,-4272556.133516848,3870697.234555316
37.60386,-122.3826303,-31.09963888120651,-2709642.5652581356,-4272575.939651525,3870683.9114113157
37.6037139,-122.3824032,-31.137824056148528,-2709630.9132984416,-4272595.010044176,3870671.0414614105
37.6035708,-122.3821811,-31.1747627273202,-2709619.5257846867,-4272613.673179674,3870658.436039685
37.6034267,-122.3819587,-31.1811124972105,-2709608.1650278545,-4272632.428110345,3870645.761328386
37.6032796,-122.3817358,-31.172463196069003,-2709596.8820376676,-4272651.388249737,3870632.8319518305
37.6031307,-122.3815105,-31.16964930164814,-2709585.4827595754,-4272670.560879523,3870619.7407129724
37.6029805,-122.3812821,-31.14608335208893,-2709573.9081347496,-4272689.968293945,3870606.547799947
37.6028286,-122.3810513,-31.127721052050592,-2709562.2138543753,-4272709.582898556,3870593.2022015224
37.6026751,-122.380818,-31.188690725773576,-2709550.357378041,-4272729.354104298,3870579.667478224
37.6025205,-122.380582,-31.251835410654543,-2709538.3383898186,-4272749.314394046,3870566.03467534
37.6023654,-122.3803424,-31.329421272993084,-2709526.062804014,-4272769.463804483,3870552.349067056
37.6022113,-122.3800981,-31.361640060961246,-2709513.4195589796,-4272789.808579679,3870538.779045277
37.6020585,-122.3798492,-31.33518424627185,-2709500.4108739994,-4272810.335734214,3870525.359109914
37.6019048,-122.3795974,-31.38447243309021,-2709487.186278568,-4272831.000759367,3870511.8137909155
37.6017487,-122.3793444,-31.38543497398496,-2709473.9795869365,-4272851.892062909,3870498.0868924363
37.6015908,-122.3790903,-31.333897925436496,-2709460.778263552,-4272872.973392595,3870484.2337195016
37.6014299,-122.3788358,-31.3096088000536,-2709447.6441920693,-4272894.226917833,3870470.100091708
37.601265,-122.3785823,-31.233907638341183,-2709434.7514143665,-4272915.696257274,3870455.646069453
37.6010973,-122.3783282,-31.212668047636747,-2709421.892166657,-4272937.317601799,3870440.912570582
37.6009284,-122.3780715,-31.22732060372829,-2709408.8671460347,-4272959.106443645,3870426.0516182818
37.6007587,-122.377812,-31.202607637763023,-2709395.678856459,-4272981.099716843,3870411.1443046103
37.600589,-122.3775506,-31.22435162508488,-2709382.3289912604,-4273003.151682259,3870396.2086113524
37.6004199,-122.377289,-31.18896042057872,-2709368.9665239886,-4273025.216949531,3870381.360506351
37.6002507,-122.3770286,-31.131949072122573,-2709355.706181457,-4273047.245587683,3870366.5167658525
37.60008,-122.3767693,-31.118514121711257,-2709342.563614273,-4273069.278770523,3870351.5145014273
37.5999078,-122.376509,-31.162823149859907,-2709329.376194514,-4273091.406320293,3870336.3450682242
37.5997368,-122.376247,-31.13548609828949,-2709316.048701208,-4273113.59349708,3870321.3248371757
37.5995688,-122.3759866,-30.96802312755585,-2709302.7910306314,-4273135.627133143,3870306.653874533
37.5994045,-122.3757299,-30.78084812182188,-2709289.683338479,-4273157.287323275,3870292.320267099
37.5992413,-122.3754742,-30.66474396193028,-2709276.580027385,-4273178.789694069,3870278.039993945
37.5990762,-122.3752172,-30.65060764688253,-2709263.4052355364,-4273200.393902573,3870263.530396849
37.5989089,-122.3749589,-30.69008217984437,-2709250.1903529447,-4273222.149461963,3870248.794598602
37.5987398,-122.3746999,-30.688040744900704,-2709237.005978171,-4273244.068776991,3870233.9258123683
37.5985709,-122.3744395,-30.677751404941084,-2709223.713268623,-4273266.048302474,3870219.0796123347
37.5984037,-122.3741788,-30.71836946767569,-2709210.3147803517,-4273287.910653223,3870204.3518117643
37.5982381,-122.3739196,-30.866150751024485,-2709196.9245254537,-4273309.538791754,3870189.699295456
37.5980724,-122.3736614,-31.071719010561704,-2709183.587801641,-4273331.086626278,3870175.0026971996
37.5979062,-122.3734034,-31.19998844885826,-2709170.316753608,-4273352.705255611,3870160.309260418
37.5977404,-122.3731462,-31.30377201259136,-2709157.101095091,-4273374.279497455,3870145.6659061955
37.5975756,-122.3728909,-31.387040522456168,-2709143.9994321363,-4273395.720369037,3870131.1229746123
37.5974099,-122.3726365,-31.436071766614912,-2709131.011890834,-4273417.193000797,3870116.5217560297
37.5972418,-122.372381,-31.412001136422155,-2709118.0601707734,-4273438.903753492,3870101.7540540257
37.5970727,-122.3721223,-31.34558795690537,-2709104.923830562,-4273460.851269676,3870086.924213972
37.5969025,-122.3718602,-31.34374190485477,-2709091.5462201685,-4273482.979180279,3870071.958215274
37.5967305,-122.3715961,-31.33085646677017,-2709078.0892079608,-4273505.311915614,3870056.840628138
37.5965567,-122.3713308,-31.293,-2709064.6183690517,-4273527.82097139,3870041.5799510595
37.5963822,-122.371064,-31.29521643626689,-2709051.043851774,-4273550.414094209,3870026.233232856
37.5962074,-122.3707951,-31.292680552959443,-2709037.325414976,-4273573.126772345,3870010.8629966755
37.5960318,-122.3705243,-31.26427892458439,-2709023.505056395,-4273595.992272517,3869995.438153613
37.5958544,-122.3702525,-31.225917818665504,-2709009.6794074513,-4273619.01458631,3869979.86105899
37.5956751,-122.36998,-31.190278924584387,-2708995.8690869375,-4273642.176760805,3869964.1151806973
37.5954937,-122.3697069,-31.141722211837767,-2708982.09543546,-4273665.495971691,3869948.192471236
37.5953105,-122.3694328,-31.105690967679024,-2708968.306945138,-4273688.956946181,3869932.1037888476
37.5951261,-122.3691571,-31.07360971164704,-2708954.4407455088,-4273712.559475951,3869915.9071285594
37.59494,-122.36888,-31.056423383682965,-2708940.5252336515,-4273736.315373987,3869899.551841964
37.5947508,-122.3686024,-31.07054722413421,-2708926.671324536,-4273760.251167544,3869882.9047960863
37.59456,-122.3683237,-31.06835161685944,-2708912.8000884815,-4273784.3413133435,3869866.126958452
37.59437,-122.3680415,-31.045372445315124,-2708898.647396792,-4273808.565012221,3869849.432110913
37.5941816,-122.3677547,-31.036308109521865,-2708884.087476716,-4273832.90529525,3869832.869438955
37.5939932,-122.3674657,-31.061297694981096,-2708869.3488019938,-4273857.3267159,3869816.285950528
37.5938039,-122.3671765,-31.067360177576543,-2708854.6356532634,-4273881.8216436,3869799.6348195174
37.5936155,-122.3668887,-31.042030316263435,-2708840.0074212234,-4273906.219834148,3869783.0819459963
37.5934297,-122.3666039,-30.98355691573024,-2708825.522582391,-4273930.34959412,3869766.7779010786
37.5932459,-122.3663227,-30.9086087808609,-2708811.2405778756,-4273954.205717975,3869750.659751676
37.5930639,-122.3660449,-30.83911455011368,-2708797.1444433327,-4273977.794426247,3869734.696532799
37.5928848,-122.3657698,-30.70376498556137,-2708783.172345655,-4274001.13363248,3869719.028485188
37.5927082,-122.3654962,-30.507693214893344,-2708769.247097198,-4274024.299512499,3869703.617301366
37.5925312,-122.3652238,-30.406618069648744,-2708755.3853828064,-4274047.367881504,3869688.1129508107
37.5923522,-122.3649527,-30.46856691089273,-2708741.6237999042,-4274070.379985055,3869672.3332243958
37.5921715,-122.364682,-30.550247464656827,-2708727.9451172785,-4274093.457117037,3869656.3919188883
37.5919902,-122.3644106,-30.64519539999962,-2708714.2301502875,-4274116.592699226,3869640.3897155533
37.5918084,-122.3641385,-30.76209147310257,-2708700.4715910936,-4274139.775201991,3869624.330113028
37.5916268,-122.3638654,-30.833866666704413,-2708686.650136731,-4274163.023663803,3869608.3155865325
37.5914469,-122.3635918,-30.83258887198568,-2708672.760569389,-4274186.247358368,3869592.4950925815
37.5912692,-122.3633197,-30.81301133179665,-2708658.9107436095,-4274209.2864954835,3869576.8792034523
37.591093,-122.3630501,-30.780959470272062,-2708645.1981614097,-4274232.129935235,3869561.4028050066
37.5909175,-122.3627839,-30.72838193035125,-2708631.722375169,-4274254.786272589,3869546.00045313
37.5907422,-122.3625198,-30.69569096517563,-2708618.3873890177,-4274277.31851279,3869530.6035230597
37.5905671,-122.3622548,-30.67868055152893,-2708604.9711879445,-4274299.871294518,3869515.214580802
37.5903924,-122.3619878,-30.638753447055816,-2708591.4008328426,-4274322.511014435,3869499.874760616
37.5902178,-122.3617185,-30.56818723070621,-2708577.6680884566,-4274345.274178865,3869484.562389427
37.5900425,-122.3614475,-30.57987594938278,-2708563.798821719,-4274368.102610185,3869469.1382436077
